,index,Symbol,Security,Sector,GICS Sub-Industry,Open,Low,Close,High,beta,forwardPE,averageVolume,marketCap,Trailing PE
247,247,IR,Ingersoll Rand,Industrials,Industrial Machinery,"0    46.450001
Name: Open, dtype: float64","0    45.824001
Name: Low, dtype: float64","0    45.990002
Name: Close, dtype: float64","0    46.709999
Name: High, dtype: float64",1.531314,25.69274,2010850,19207999488,0.0
248,248,INTC,Intel Corp.,Information Technology,Semiconductors,"0    58.240002
Name: Open, dtype: float64","0    58.09
Name: Low, dtype: float64","0    58.669998
Name: Close, dtype: float64","0    59.220001
Name: High, dtype: float64",0.734768,12.980088,40541830,240429645824,11.483656
249,249,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"0    115.459999
Name: Open, dtype: float64","0    113.519997
Name: Low, dtype: float64","0    114.690002
Name: Close, dtype: float64","0    115.459999
Name: High, dtype: float64",0.6817219999999999,23.993723,2541553,64373661696,31.61246
250,250,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"0    129.699997
Name: Open, dtype: float64","0    128.559998
Name: Low, dtype: float64","0    130.080002
Name: Close, dtype: float64","0    131.059998
Name: High, dtype: float64",1.241596,11.281874,5645535,115908698112,14.743285
251,251,IP,International Paper,Materials,Paper Packaging,"0    50.830002
Name: Open, dtype: float64","0    50.32
Name: Low, dtype: float64","0    50.990002
Name: Close, dtype: float64","0    51.099998
Name: High, dtype: float64",1.096638,13.561171,2665403,20043915264,40.857372
252,252,IPG,Interpublic Group,Communication Services,Advertising,"0    25.07
Name: Open, dtype: float64","0    24.370001
Name: Low, dtype: float64","0    24.68
Name: Close, dtype: float64","0    25.07
Name: High, dtype: float64",1.010504,13.340541,3982961,9626063872,17.044199
253,253,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"0    121.050003
Name: Open, dtype: float64","0    118.769997
Name: Low, dtype: float64","0    120.080002
Name: Close, dtype: float64","0    121.860001
Name: High, dtype: float64",0.984243,19.685247,2269140,12840994816,35.93058
254,254,INTU,Intuit Inc.,Information Technology,Application Software,"0    391.670013
Name: Open, dtype: float64","0    388.980011
Name: Low, dtype: float64","0    389.459991
Name: Close, dtype: float64","0    398.119995
Name: High, dtype: float64",0.985294,40.067898,1262556,106729955328,52.304592
255,255,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"0    785.549988
Name: Open, dtype: float64","0    781.630005
Name: Low, dtype: float64","0    798.570007
Name: Close, dtype: float64","0    801.669983
Name: High, dtype: float64",0.97689,59.817978,534400,93875896320,90.97403
256,256,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"0    20.25
Name: Open, dtype: float64","0    20.120001
Name: Low, dtype: float64","0    21.57
Name: Close, dtype: float64","0    22.1
Name: High, dtype: float64",1.379726,9.419214,5537725,9907856384,20.25352
